Area_Name,Postal_code
Askurdos,15601
Nasirabad,15550
Teru,15350
Hussainabad,15401
Hoper,15651
Ghulmit,15401
Mayun,15401
Nagar,15650
Phikar,15601
Budlos,15501
Murtizabad,15601
Chhalat,15500
Chaprote,15501
Ahmad Abad,15701
Sust,15800
Sarrat,15701
Altit,15701
Karimabad,15700
Chundah,16201
Skardu Hsg,16100
Skardu Airport,16200
Sirmik,16101
Nar,16101
Hussainabad,16101
Misgar,15900
Kirmin,15801
Gole,16101
Kuwardu,16101
Kachoora,16201
Qumrah,16201
Strangdongmo,16101
Sundus,16101
Basho,16201
Thowar,16201
Tormik,16201
Stack,16201
Churka,16301
Shigar,16300
Wazirpur,16301
Dasu,16301
Gulabpur,16301
Tisser,16301
Alchori,16301
Yunu,16301
Chatrooni,16301
Manthoka,16401
Kharmang,16401
Mayurdu,16401
Pari,16401
Katisho,16401
Kamango,16401
Murkun,16401
Mehdiabad,16400
Baghicha,16500
Toltibroq,16401
Ghowari,16701
Bilargo,16601
Tarkati,16501
Tolti,16450
Olding,16600
Fransat,16501
Yogo,16701
Gone,16701
Moral,16501
Doghani,16801
Kuru,16701
Kiris,16700
Ghursay,16801
Machloo,16801
Thaley,16701
Hasanabad,16801
Pharawa,16801
Pion,16801
Surmon,16801
Khaplu(Lsg),16800
Dumsum,16901
Seeno,16901
Barah Bala,16801
Siksa,16801
Thagus,16900
Brep,17010
Koach,17011
Birzoz,17011
Barg,17011
Shust,17011
Broghab,17011
Dizk,17011
Lasht,17011
Pawar,17011
Zapao,17011
Meragram,17011
Mastuj,17020
Harichin,17030
Chunch,17021
Marting,17011
Chappari,17021
Kargeen,17021
Gosht,17021
Oveer (Charun),17051
Khubbala,17021
Sarlaspur,17021
Awi,17051
Baleem,17031
Parkosap,17021
Ramon,17031
Astaro,17051
Sano Ghore,17051
Zand Garam,17061
Booni,17050
Booni Gool,17051
Verkop,17051
Mazgul,17061
Trich Payan,17061
Sahrt,17061
Kosht,17100
Nishku,17061
Zait,17111
Surwhoth,17081
Murdar,17101
Shut Khar,17081
Ujnu,17081
Rech,17081
Warkku,17081
Shah Gram,17080
Rain,17081
Mehr,17081
Muzgule,17101
Khot,17081
Rogh,17121
Baram Oveer,17111
Dronga,17111
Kaghuzi,17120
Chitral,17200
Murdan,17131
Garam Chashma,17130
Kari,17201
Kuju,17121
Bagushit,17131
Golean,17121
Mori,17201
Paira Baig,17131
Birzin,17131
Reshun,17110
Para Beg,17140
Shangosh Lotoveer,17111
Overbala,17111
Loan,17111
Mogh,17131
Kesu,17201
Gobor,17131
Barenis,17201
Faiz Abad,17201
Sangor,17201
Arkari,17201
Chamar Ron,17201
Denin,17201
Bakerabad,17201
Ayun,17210
Kalashfi,17201
Khasgram,17201
Jagor,17201
Karimabad,17201
Pareet,17201
Kalas,17221
Madak Lasht,17221
Mada Shel,17201
Taar,17221
Bamborat,17211
Shughur,17201
Mori Lasht,17201
Mustajaban Deh,17201
Drosh,17220
Jing Reet,17221
Saweer,17221
Birga Nisar,17221
Ursoon,17221
Azardam,17221
Broz,17230
Nagar,17240
Ashrait,17260
Sair Door,17234
Bela,18001
Charun,17501
Kalkot,18001
Patrak,18001
Mirkhani,17261
Parwak,17501
Beyar,18001
Dir,18000
Arandu,17250
Thall,18001
Mara Gram,17501
Qualandi,18001
Biar Darangal,18051
Sawni,18001
Darora,18150
Jan Batti,18001
Chukyatan,18001
Barawal Bandi Edso,18100
Usheri Dara,18151
Shiringal Edso,18050
Gandegar,18151
